"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Espinal, Santiago",669289,"CIN","SL","Slider",-0.3,0,"145",16.5,"36","0.25","0.361","0.264",20,11.1,9.5,"0.231","0.301","0.231",28.1
"Lee, Jung Hoo",808982,"SF","SI","Sinker",0.7,1,"144",12.8,"36","0.364","0.606","0.438",14.8,11.1,12.9,"0.255","0.325","0.288",41.4
"Flores, Wilmer",527038,"SF","SI","Sinker",1.4,2,"148",12.5,"36","0.333","0.576","0.414",9.2,11.1,10.8,"0.269","0.438","0.335",41.4
"Bogaerts, Xander",593428,"SD","SL","Slider",3.4,6,"167",15.5,"36","0.333","0.567","0.468",23.3,13.9,10,"0.34","0.487","0.395",34.6
"Manzardo, Kyle",700932,"CLE","CH","Changeup",1.3,2,"155",17,"36","0.333","0.515","0.393",28.9,16.7,13.6,"0.24","0.378","0.301",37
"Yastrzemski, Mike",573262,"SF","SL","Slider",1.4,2,"116",11.8,"36","0.273","0.455","0.353",19.6,16.7,15.4,"0.224","0.367","0.289",33.3
"Greene, Riley",682985,"DET","SL","Slider",-1.3,-2,"143",11.7,"36","0.206","0.353","0.264",46.2,47.2,30.4,"0.231","0.428","0.302",47.1
"García Jr., Luis",671277,"WSH","CU","Curveball",-1.7,-2,"122",14.1,"36","0.206","0.265","0.214",22.9,11.1,8.3,"0.273","0.427","0.315",38.7
"Beck, Jordan",687597,"COL","SI","Sinker",1,2,"154",15.5,"36","0.375","0.563","0.436",16.7,22.2,22.9,"0.283","0.396","0.336",62.5
"Fermin, Freddy",666023,"KC","FF","4-Seam Fastball",-2.5,-4,"155",29.8,"35","0.242","0.242","0.232",22.6,20,11.1,"0.227","0.26","0.227",25.9
"Carlson, Dylan",666185,"BAL","FF","4-Seam Fastball",0.2,0,"162",39.5,"35","0.226","0.452","0.384",25.3,31.4,17.5,"0.212","0.381","0.302",25
"Noel, Jhonkensy",678877,"CLE","FF","4-Seam Fastball",-3,-4,"136",33.8,"35","0.129","0.161","0.173",28.2,34.3,25.5,"0.15","0.197","0.196",35
"Smith, Josh",669701,"TEX","SI","Sinker",1.5,2,"119",12.3,"35","0.344","0.625","0.437",17.5,22.9,26.7,"0.309","0.531","0.385",37.5
"Rutschman, Adley",668939,"BAL","SL","Slider",0.2,0,"133",12.1,"35","0.241","0.345","0.331",24.5,28.6,21.3,"0.236","0.386","0.339",26.3
"Lindor, Francisco",596019,"NYM","CU","Curveball",0.5,1,"150",11.6,"35","0.219","0.438","0.313",29.6,28.6,18.5,"0.213","0.368","0.286",40.9
"White, Eli",642201,"ATL","SL","Slider",-1.8,-2,"108",18.3,"35","0.182","0.455","0.275",24.6,22.9,25,"0.22","0.421","0.283",26.9
"Trout, Mike",545361,"LAA","SI","Sinker",-1.8,-2,"135",16.7,"35","0.235","0.412","0.289",5.9,20,33.3,"0.291","0.454","0.33",40.7
"Correa, Carlos",621043,"MIN","SL","Slider",-1.6,-2,"148",16.9,"35","0.219","0.281","0.26",38,28.6,19.6,"0.227","0.367","0.292",36.4
"Soler, Jorge",624585,"LAA","ST","Sweeper",-3,-4,"134",12.7,"35","0.156","0.156","0.169",34.4,34.3,25.5,"0.135","0.178","0.167",33.3
"Turner, Trea",607208,"PHI","CU","Curveball",0.9,1,"139",11.6,"35","0.281","0.375","0.323",36.5,25.7,15.3,"0.245","0.331","0.287",21.7
"Kurtz, Nick",701762,"ATH","FF","4-Seam Fastball",0.3,0,"133",24.8,"35","0.233","0.633","0.386",29.7,28.6,25,"0.233","0.631","0.401",52.4
"Moore, Dylan",664238,"SEA","SI","Sinker",1.1,1,"116",17.7,"35","0.364","0.636","0.443",16.4,17.1,31.6,"0.381","0.66","0.459",40.7
"Witt Jr., Bobby",677951,"KC","CH","Changeup",2.3,3,"116",10.2,"35","0.303","0.455","0.373",28.6,17.1,17.1,"0.345","0.461","0.37",29.6
"Toglia, Michael",669911,"COL","CH","Changeup",0.2,0,"130",15.6,"35","0.226","0.355","0.309",49.2,42.9,40.5,"0.193","0.34","0.282",43.8
"Kelly, Carson",608348,"CHC","SI","Sinker",1.6,2,"148",20.7,"35","0.333","0.556","0.479",8.1,0,0,"0.34","0.559","0.456",40.7
"Sosa, Lenyn",672820,"CWS","SI","Sinker",-2.6,-3,"111",15.4,"35","0.25","0.281","0.301",11.5,14.3,19.2,"0.294","0.419","0.34",59.3
