"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Lambert, Peter",663567,"COL","FF","4-Seam Fastball",-0.5,-3,"646",44.6,"152","0.271","0.586","0.4",16.7,12.5,12.8,"0.284","0.583","0.404",51.8
"Strahm, Matt",621381,"PHI","FF","4-Seam Fastball",0.7,4,"616",45.1,"152","0.187","0.374","0.271",31.3,39.5,27.6,"0.182","0.346","0.265",45
"Wacha, Michael",608379,"SD","FF","4-Seam Fastball",1.3,8,"638",28.7,"152","0.183","0.336","0.282",17.1,22.4,16.5,"0.243","0.448","0.344",49
"Moreta, Dauri",664294,"PIT","SL","Slider",1.3,8,"623",64.8,"152","0.162","0.265","0.24",40.8,38.2,29.4,"0.166","0.246","0.218",27.2
"Mikolas, Miles",571945,"STL","CU","Curveball",-0.6,-4,"639",20,"152","0.261","0.387","0.314",19.8,19.1,13.5,"0.264","0.447","0.326",41.2
"Smith, Drew",622098,"NYM","FF","4-Seam Fastball",0.5,3,"662",61.2,"152","0.169","0.339","0.304",24,25,17.3,"0.199","0.385","0.327",44.3
"Glasnow, Tyler",607192,"TB","SL","Slider",1.2,8,"659",34.8,"152","0.254","0.373","0.305",38.5,19.1,28.4,"0.274","0.483","0.347",43.9
"Rogers, Tyler",643511,"SF","SI","Sinker",0.7,4,"564",50.2,"151","0.29","0.406","0.329",11.3,9.9,11.5,"0.279","0.356","0.303",32.5
"Castillo, Luis",622491,"SEA","CH","Changeup",-1.9,-10,"500",15.6,"151","0.28","0.42","0.326",32.5,23.2,17.4,"0.262","0.408","0.3",27.3
"Williams, Devin",642207,"MIL","CH","Changeup",2.8,15,"549",57.9,"151","0.097","0.187","0.21",43.2,37.7,30.8,"0.151","0.254","0.231",24.7
"Manning, Matt",666159,"DET","FF","4-Seam Fastball",0.4,2,"563",47.6,"151","0.214","0.366","0.294",18.2,23.2,19.9,"0.261","0.479","0.353",52.5
"Gibson, Kyle",502043,"BAL","CH","Changeup",-0.7,-3,"517",17,"151","0.288","0.453","0.344",29.1,18.5,17.6,"0.27","0.428","0.325",42.9
"Romano, Jordan",605447,"TOR","SL","Slider",1.3,6,"496",54.2,"150","0.216","0.338","0.275",38.6,29.3,28.9,"0.215","0.351","0.27",36.5
"Okert, Steven",595345,"MIA","SL","Slider",1.4,9,"625",61.3,"150","0.194","0.373","0.281",34.3,34,26.2,"0.18","0.346","0.266",36.5
"Canning, Griffin",656288,"LAA","FF","4-Seam Fastball",-0.6,-5,"724",33.3,"150","0.235","0.5","0.342",28.1,26.7,19.1,"0.243","0.513","0.348",48.5
"Bibee, Tanner",676440,"CLE","FC","Cutter",1.2,7,"629",27,"149","0.206","0.355","0.251",32.1,28.2,19.2,"0.193","0.307","0.227",23.5
"Maeda, Kenta",628317,"MIN","FS","Split-Finger",1.2,6,"542",31.9,"149","0.182","0.263","0.237",35,31.5,21.7,"0.204","0.293","0.245",40.2
"Gilbert, Logan",669302,"SEA","FS","Split-Finger",0.4,2,"432",14.8,"148","0.174","0.34","0.221",35,46.6,25.2,"0.165","0.26","0.187",31.2
"Houck, Tanner",656557,"BOS","SI","Sinker",0,0,"510",29.3,"148","0.301","0.504","0.39",19.1,14.2,20.8,"0.267","0.429","0.334",50.4
"Topa, Justin",623437,"SEA","SI","Sinker",2,9,"467",44.6,"148","0.263","0.321","0.287",12.2,19.6,22.3,"0.262","0.345","0.296",41.3
"Crawford, Kutter",676710,"BOS","FC","Cutter",0.5,3,"591",28.2,"147","0.289","0.43","0.349",24.7,10.9,17.4,"0.24","0.373","0.298",27.7
"Anderson, Tyler",542881,"LAA","FC","Cutter",0.6,3,"538",22.1,"147","0.242","0.371","0.298",27.2,19,19.2,"0.244","0.407","0.311",28.7
"Irvin, Jake",663623,"WSH","CU","Curveball",0.1,1,"656",30.6,"147","0.197","0.362","0.297",25.7,25.2,16.5,"0.21","0.356","0.292",33.7
